idx,varname,varlabel,agg,weight,note
0,poly_id,Polygon ID,id,,replaced by province keys
1,asdf_id,ASDF ID,id,,replaced by province keys
2,mun,Municipality,id,,replaced by province keys
3,mun_id,Municipality ID,id,,replaced by province keys
4,dep,Department,id,,replaced by province keys
5,dep_id,Department ID,id,,replaced by province keys
6,dep_mun,Department-municipality,id,,replaced by province keys
7,shapeID,Municipality Geoquery Polygon ID,id,,replaced by province keys
8,imds,Municipal Sustainable Development Index,wmean,2020,
9,rank_imds,Bolivia Index Ranking,recompute,,ranking recomputed over the 112 provinces
10,population_2020,Population 2020,sum,,set to INE pop2020 (= sum of municipal pop2020)
11,urbano_2012,"Urbanization rate, 2012 (% of population)",wmean,2020,
12,sdg1_1_eepr,"Extreme energy poverty rate, 2016 (% of houses)",wmean,2020,
13,sdg1_1_ubn,"Unsatisfied basic needs, 2012 (% of population)",wmean,2020,
14,sdg1_2_mpi,"Multidimensional poverty index, 2012",wmean,2020,
15,sdg1_4_abs,"Access to the 3 basic services, 2012 (% of households)",wmean,2020,
16,sdg2_2_cmc,"Chronic malnutrition in children (< 5 years), 2016 (%)",wmean,2020,
17,sdg2_2_oww,"Obesity in women (15-49 years), 2016 (%)",wmean,2020,
18,sdg2_4_pual,"Average area per Production Unit Agriculture and Livestock, 2013 (ha)",wmean,2020,
19,sdg2_4_td,"Tractor density, 2013 (per 1,000 UPAs)",wmean,2020,
20,sdg3_1_idca,"Institutional childbirth coverage, average 2008-2012 (%)",wmean,2020,
21,sdg3_2_imr,"Infant mortality rate (< 1 year), 2016 (per. 1,000 live births)",wmean,2020,
22,sdg3_2_mrc,"Children mortality rate in (< 5 years), 2016 (per. 1,000 live births)",wmean,2020,
23,sdg3_3_cdir,"Chagas disease infestation rate, 2017 (% of households)",wmean,2020,
24,sdg3_3_di,"Dengue incidence, 2018 (per 10,000 population)",wmean,2020,
25,sdg3_3_imr,"Malaria incidence, average 2014-17 (per 1,000 population)",wmean,2020,
26,sdg3_3_ti,"Tuberculosis incidence, 2017 (per 100,000 population)",wmean,2020,
27,sdg3_3_hivi,"HIV incidence, average 2014-17 (per 1,000,00 population)",wmean,2020,
28,sdg3_7_afr,"Adolescent fertility rate (15-19 years), 2012 (births per 1,000 women)",wmean,2020,
29,sdg4_1_ssdrm,"Secondary school dropout rate, male, 2017 (% of enrolled)",wmean,2020,
30,sdg4_1_ssdrf,"Secondary school dropout rate, females, 2017 (% of enrolled)",wmean,2020,
31,sdg4_4_phe,"Population with higher education (>= 19 years), 2012 (%)",wmean,2020,
32,sdg4_6_lr,"Literacy rate for (>= 15 years), 2012 (%)",wmean,2020,
33,sdg4_c_qti,"Qualified teachers at the initial level, 2016 (%)",wmean,2020,
34,sdg4_c_qts,"Qualified teachers at the secondary level, 2016",wmean,2020,
35,sdg5_1_gpsd,"Gender parity in school dropouts in  secondary school, 2017",wmean,2020,
36,sdg5_1_gpyp,"Gender parity in years of education of young people (25-35 years old), 2012. (25",wmean,2020,
37,sdg5_1_gpmpi,"Gender Parity in the Multidimensional Poverty Index, 2012",wmean,2020,
38,sdg5_5_gpop,"Gender parity in the overall participation rate (>=10 years), 2012",wmean,2020,
39,sdg6_1_dwc,"Drinking water coverage, 2017 (% of population)",wmean,2020,
40,sdg6_2_sc,"Sanitation coverage, 2017 (% of population)",wmean,2020,
41,sdg6_3_wwt,"Wastewater treatment, 2017 (% of wastewater) wastewater)",wmean,2020,
42,sdg7_1_ec,"Electricity coverage, 2012 (% of population) population)",wmean,2020,
43,sdg7_1_rec,"Residential electricity consumption per capita, 2016 (kWh/person/year)",wmean,2020,
44,sdg7_1_cce,"Clean cooking energy, 2012 (% of households)",wmean,2020,
45,sdg7_3_co2epc,"CO2 emissions per capita by energy, 2016. (tCO2/person/year)",wmean,2020,
46,sdg8_4_rem,"Residential electric meters with zero consumption, 2016 (%)",wmean,2020,
47,sdg8_5_oprm,"Overall participation rate males (>= 10 years), 2012 (%)",wmean,2020,
48,sdg8_5_ofrm,"Overall female participation rate (>= 10 years), 2012 (%)",wmean,2020,
49,sdg8_6_mlm,"Men who do not study or participate in the labor market (15-24 years), 2012 (%)",wmean,2020,
50,sdg8_6_wlm,"Women who do not study or participate in the labor market (15-24 years),2012 (%)",wmean,2020,
51,sdg8_10_dbb,"Density of bank branches, 2018 (per 100,000 inhabitants)",wmean,2020,
52,sdg8_11_idi,"Index of the degree of intermediation in migration, 2012",wmean,2020,
53,sdg9_1_routes,"Number of railways/primary roads entering/leaving the municipality, 2019",wmean,2020,SDG count-type kept as weighted mean (SDG rule)
54,sdg9_5_cd,"Kuaa computers delivered, 2016 (per 100 school-age population, 6-19 years)",wmean,2020,
55,sdg9_5_eutf,"Educational units with technological floors, 2016 (%)",wmean,2020,
56,sdg9_c_mnc,"Fixed and mobile network coverage, 2012 (% of households)",wmean,2020,
57,sdg9_c_drb,"Density of radio bases, 2016 (number of radio bases per 1000 inhabitants)",wmean,2020,SDG count-type kept as weighted mean (SDG rule)
58,sdg10_2_gcye,"GINI coefficient of years of education, 2012",wmean,2020,
59,sdg10_2_iec,"Inequality in electricity consumption, 2016",wmean,2020,
60,sdg10_2_nssp,"Non-Spanish speaking population (>= 3 years), 2012 (%)",wmean,2020,
61,sdg11_1_hocr,"Overcrowding rate, 2012 (% of households)",wmean,2020,
62,sdg11_1_hno,"Households that do not have a toilet, bathroom or latrine, 2012 (%) latrine, 201",wmean,2020,
63,sdg11_2_samt,"Seats available for mass transit, 2017 (per 1,000 inhabitants)",wmean,2020,
64,sdg13_1_ccvi,"Climate change vulnerability Index, 2015",wmean,2020,
65,sdg13_2_tco2e,"Total CO2 emissions per capita, 2016 (tCO2/person/year)",wmean,2020,
66,sdg13_2_dra,"Deforestation rate, average 2016-2018 (% of forest area 2015)",wmean,area,"areal rate: weighted by land area, not population"
67,sdg15_1_pa,"Protected areas, 2019 (% of the municipality's land area) municipality)",wmean,area,"areal rate: weighted by land area, not population"
68,sdg15_5_blr,"Biodiversity loss rate due to deforestation deforestation, average 2016-2018",wmean,area,"areal rate: weighted by land area, not population"
69,sdg16_1_rhr,"Registered homicide rate, average 2015-2017. (per 100,000 inhabitants)",wmean,2020,
70,sdg16_6_pbec,"Programmed budget execution capacity, 2017 (%)",wmean,2020,
71,sdg16_9_cr,"Children registered in the civil registry (< 5 years), 2012 (%)",wmean,2020,
72,sdg17_1_pmtax,"Proportion of municipal revenues that come from local taxes, 2017 (%)",wmean,2020,
73,sdg17_5_pipc,"Public investment per capita, 2017 (Bs./person)",wmean,2020,
74,index_sdg1,SDG1 Index,wmean,2020,
75,index_sdg2,SDG2 Index,wmean,2020,
76,index_sdg3,SDG3 Index,wmean,2020,
77,index_sdg4,SDG4 Index,wmean,2020,
78,index_sdg5,SDG5 Index,wmean,2020,
79,index_sdg6,SDG6 Index,wmean,2020,
80,index_sdg7,SDG7 Index,wmean,2020,
81,index_sdg8,SDG8 Index,wmean,2020,
82,index_sdg9,SDG9 Index,wmean,2020,
83,index_sdg10,SDG10 Index,wmean,2020,
84,index_sdg11,SDG11 Index,wmean,2020,
85,index_sdg13,SDG13 Index,wmean,2020,
86,index_sdg15,SDG15 Index,wmean,2020,
87,index_sdg16,SDG16 Index,wmean,2020,
88,index_sdg17,SDG17 Index,wmean,2020,
89,pop2001,Estimated population in 2001,sum,,population count
90,pop2002,Estimated population in 2002,sum,,population count
91,pop2003,Estimated population in 2003,sum,,population count
92,pop2004,Estimated population in 2004,sum,,population count
93,pop2005,Estimated population in 2005,sum,,population count
94,pop2006,Estimated population in 2006,sum,,population count
95,pop2007,Estimated population in 2007,sum,,population count
96,pop2008,Estimated population in 2008,sum,,population count
97,pop2009,Estimated population in 2009,sum,,population count
98,pop2010,Estimated population in 2010,sum,,population count
99,pop2011,Estimated population in 2011,sum,,population count
100,pop2012,Estimated population in 2012,sum,,population count
101,pop2013,Estimated population in 2013,sum,,population count
102,pop2014,Estimated population in 2014,sum,,population count
103,pop2015,Estimated population in 2015,sum,,population count
104,pop2016,Estimated population in 2016,sum,,population count
